Name;KUNST/WEG;VORAUSSETZUNG;SEITE;Erläuterungen
Sensibilisierung;Sensibilisierung;–;SG S. 180;SENSIBILISIERUNG Der Magier kann die Handlung Genau Beobachten (SR5, S. 167) durchführen, um die Umgebung zu analysieren. Er kann die Hintergrundstrahlung, ihre Ausrichtung oder Veränderung wahrnehmen, ohne astral wahrnehmen oder projizieren zu müssen. Er kann auch eine durch Manablasen oder –hohlräume (S. 33) verursachte negative Hintergrundstrahlung wahrnehmen, ist diesen Phänomenen gegenüber aber auch empfindlicher: Die Hintergrundstrahlung wirkt gegen ihn mit einer um 2 erhöhten Stufe. Der Zauberer kann mit dieser Metamagie keine astralen Gestalten, Zauber, Manabarrieren, Geister oder Foki wahrnehmen. Der Spielleiter kann dem Charakter auch die Chance geben, eine ungewöhnliche Änderung in der Nähe zu fühlen, selbst wenn er die Sensibilisierung gerade nicht aktiv einsetzt. In diesem Fall sollte der Spielleiter die Probe verdeckt ablegen, um nicht zu viel zu verraten. Auch Alcheras (S. 29), Manaorkane, -stürme oder -verzerrungen (S. 34ff.) können so wahrgenommen werden.
Silberzüngiger Teufel;Weg des Sprechers;Gebieterischer Ton;SG S. 184;SILBERZÜNGIGER TEUFEL VORAUSSETZUNG: GEBIETERISCHER TON Ein Adept auf dem Weg des Sprechers kann bei der Verwendung der Kraft Gebieterischer Ton (S. 199) einen stärkeren Eindruck auf andere Person machen. Diese Verbesserung erhöht das Soziale Limit des Adepten um seinen Initiatengrad, wenn er Gebieterischer Ton einsetzt.
Spiegelung;Abwehrmagie;Abschirmung;SG S. 176;SPIEGELUNG VORAUSSETZUNG: ABSCHIRMUNG Spiegelung ist eine fortgeschrittene Form der Abschirmung, die den offensiven Einsatz einer defensiven Fähigkeit erlaubt. Um die Technik zu nutzen, muss der Zauberer astral wahrnehmen. Wenn er dabei bemerkt, dass eines der Ziele seiner Zauberabwehr zum Opfer eines gegnerischen Zaubers werden könnte, kann er statt des Würfelpools zur Zauberabwehr (SR5, S. 294) eine der drei Unterbrechungshandlungen einsetzen, die die Gruppe schützen. Jede dieser Unterbrechungshandlungen senkt den Würfelpool der Zauberabwehr um 1. Wenn der Würfelpool leer ist, kann auch keine dieser Unterbrechungshandlungen mehr durchgeführt werden. Die drei möglichen Unterbrechungshandlungen sind: Zauber Spiegeln, Zauber Umlenken und Verbessertes Spiegeln.
Spirituelle Domäne;Der Geisterweg;–;SG S. 182;SPIRITUELLE DOMÄNE Hintergrundstrahlung, die durch Domänen mit religiöser Bedeutung (wie Kirchen, Friedhöfe usw.) entsteht, beeinträchtigt einen Adepten auf dem Geisterweg weniger stark. Reduzieren Sie den Malus durch Hintergrundstrahlung um 1 + Initiatengrad, wenn die Hintergrundstrahlung religiös oder spirituell ausgerichtet ist.
Stille der Leere;Der unsichtbare Weg;–;SG S. 185;STILLE DER LEERE Durch Meditation kann ein Adept seinen Geist wappnen, um für Wahrnehmungszauber und Ritualmagie schwerer auf ndbar zu sein. Um in diesen Zustand zu gelangen, muss der Adept bewegungslos verharren und sich fünf Minuten lang, ohne sich zu bewegen, zu sprechen oder zu gestikulieren, nur auf seine Atmung konzentrieren. Jede Handlung, aber auch ein Bewegtwerden oder das Erleiden von Schaden, bricht diese Konzentration, woraufhin der Adept von vorne beginnen muss. Wenn die Meditation abgeschlossen ist, kann der Adept wieder normal handeln. Bei Widerstandsproben gegen Wahrnehmungszauber erhält er dann einen Würfelpoolbonus von 1 + Initiatengrad. Auch Gegenstände im Besitz des Adepten widerstehen auf diese Weise (z. B. gegen einen Zauber Feuerwaffen Entdecken). Auch das astrale Spurenlesen gegen den Adepten wird schwieriger: Der Schwellenwert steigt um 1 + Initiatengrad bei der Askennen-Probe (SR5, S. 314). Der Adept kann bis zu acht Stunden in diesem geistigen Zustand verbleiben.
Strömung;Flexible Signatur;–;SG S. 175;STRÖMUNG Mit dieser Metamagie kann ein Initiat seine Aura beständig im Fluss halten. Das lässt seine veränderliche Aura zwar im Astralraum hervortreten, schwächt aber auch kurzzeitig die mystische Verbindung zwischen ihm und potenziellen Ritualverbindungen (materiell, sympathetisch oder symbolisch), gebundenen Foki, eingestimmten Tieren oder Gegenständen, beschworenen und gebundenen Geistern, Manabarrieren, aktiven Zaubern (aufrechterhalten, intensiviert oder verankert) und Alchemischen Erzeugnissen (aktiv oder durch Befehl ausgelöst). Wenn der Zauberer in diesem Zustand Zauber wirkt, ist deren astrale Signatur ebenfalls durcheinander und kann nicht gelesen werden. Die Kraftstufe von Ritualen, die einen Zauberer in diesem Zustand zum Ziel haben, wird bei der Vergleichenden Probe zum Besiegeln (SR5, S. 295) um 4 + Initiatengrad erhöht. Ähnliche Probleme mit diesem Zauberer hat man beim astralen Spurenlesen (SR5, S. 314). Hier wird der Schwellenwert um 4 + Initiatengrad erhöht. In diesem Zustand kann der Zauberer auch versuchen, sich durch Hüter zu drücken (SR5, S. 315). Außerdem aktivieren sich Alchemische Erzeugnisse mit einem Kontaktauslöser vielleicht nicht, wenn eine uktuierende Aura sie berührt. Wenn der Zauberer mit einem solchen Erzeugnis in Kontakt kommt, legt er eine Vergleichende Probe auf Magie + Initiatengrad gegen die Kraftstufe des Erzeugnisses ab. Gelingt die Probe, wird das Erzeugnis nicht aktiviert. Der Zauberer kann seine Aura pro 24-Stunden-Zeitraum [Magie] Stunden lang gefahrlos uktuieren lassen. Er kann in diesem Zustand weder seine Geister oder Watcher kommandieren noch Foki oder Erzeugnisse mit Befehlsauslöser aktivieren. Übermäßige Verwendung von Strömung kann schädlich sein. Wenn man innerhalb eines 24-Stunden-Zeitraums länger als [Magie] Stunden, aber kürzer als [Magie x 2] Stunden in Strömung bleibt, verlieren Gegenstände (eingestimmte Gegenstände, Fetische usw.) ihre Einstimmung und müssen vor neuer Benutzung wieder eingestimmt werden. Herbeigerufene und gebundene Geister werden automatisch entlassen. Nach [Magie x 2] bis 18 Stunden können Ritualverbindungen zum Charakter mit 50-%iger Wahrscheinlichkeit unbrauchbar geworden sein. Foki müssen dann neu gebunden, Gruppenbindungen neu durchgeführt werden
Sympathetische Verbindung;Psychometrie;–;SG S. 169;SYMPATHETISCHE VERBINDUNG Bei allen Verbindungen muss der jeweilige Gegenstand so klein und leicht sein, dass der Zauberer ihn mühelos tragen kann. Das Lieblingsauto eines Riggers könnte theoretisch als sympathetische Verbindung betrachtet werden, ist aber zum Tragen zu schwer. Hier kann man einfach das Sitzkissen vom Fahrersitz nehmen. Rituale, die das Merkmal Materielle Verbindung haben, aber bei denen eine sympathetische oder symbolische Verbindung verwendet wird, sind schwerer durchzuführen. Bei der Benutzung einer sympathetischen Verbindung wird die Kraftstufe des Rituals bei der Vergleichenden Probe in Schritt 7 (Besiegeln des Rituals, SR5, S. 295), um 2 erhöht, bei einer symbolischen Verbindung steigt sie um 4.
Totemform (Tier);Weg des Tieres;[Tier] Einstimmen;SG S. 184;TOTEMFORM (TIER) VORAUSSETZUNG: [TIER] EINSTIMMEN Manche Leute sagen, es gebe eine Macht, die über gewöhnliches Qi hinausgehe. Andere sagen, die gewonnene Energie sei nicht anders als die, die ein Zauberer durch das Beschwören eines anderen Geistes erhält. In jedem Fall haben Adepten, die diesen Weg beschreiten, eine Möglichkeit gefunden, ihrem Tierbegleiter näher zu sein. Mit dieser Metamagie zapft der Adept diese Energie an und wird zu dem Tier, das er an sich gebunden hat. Nach einer zwanzigminütigen Vorbereitung verwandelt sich der Adept in die Gestalt eines Tiers, das jener des Tiers, das er auf sich eingestimmt hat, entspricht. Er erhält dabei alle Fähigkeiten des entsprechenden Tiers. Diese Verwandlung ist aber nicht bloß ein kurzzeitiges Aufgeben der metamenschlichen Gestalt. Sie ähnelt eher dem Gestaltwandeln, und viele Adepten auf dem Weg des Tiers werden mit Gestaltwandlern verwechselt. Die Körperlichen Attribute und Limits werden die des Tiers, aber die Geistigen Attribute und die Fertigkeiten bleiben die des Adepten. Diese Fähigkeit hat den Nachteil, dass es der Adept schwer hat, sich zurück in metamenschliche Gestalt zu verwandeln, weil sein Geist im Tierkörper langsam immer wilder wird. Nach ein paar Tagen kann der Adept für immer im Tier verloren gehen. Um sich in die Tierform zu verwandeln, muss der Adept eine erfolgreiche Probe auf Arkana + Magie [Geistig] (2) ablegen. Der Adept kann in Tiergestalt verbleiben, solange er will. Die Rückkehr in die metamenschliche Gestalt erfordert eine erfolgreiche Probe auf Arkana + Magie [Geistig] (3). Misslingt diese Probe, muss der Adept weitere 2 Stunden warten und sich sammeln, um die stärker werdenden tierischen Instinkte zu überwinden. Pro 24 Stunden in Tiergestalt steigt der Schwellenwert der Probe um 1. Wenn der Schwellenwert über das Geistige Limit des Adepten steigt, wird er permanent zum Tier.
Übernatürliches Können;Weg des Athleten;–;SG S. 182;ÜBERNATÜRLICHES KÖNNEN Bei einer beliebigen körperlichen Handlung kann der Adept bei der entsprechenden Probe ein Körperliches Attribut durch Magie + Initiatengrad ersetzen. Wenn er dies im Kampf tut, sind alle körperlichen Handlungen, die mit dem betroffenen Attribut zusammenhängen, eine Kampfrunde lang davon betroffen. Diese Metamagie kann nicht mit Attributsschub kombiniert werden. Der Adept kann diese Ersetzung [1 + Initiatengrad]-mal pro Tag durchführen. Würfelpools und Körperliche Limits ändern sich dabei ebenfalls kurzzeitig.
Verankerung;Intensivierung;Intensivierung;SG S. 179;"VERANKERUNG VORAUSSETZUNG: INTENSIVIERUNG Diese Metamagie ist der Alchemie ähnlich, folgt aber den Regeln für intensivierte Zauber. Der intensivierte Zauber kann an einem temporären Astralkonstrukt verankert wer den. Dieser Anker löst später den Zauber aus, wenn eine Auslösebedingung eintritt. Es können Zauber mit jeder Wirkungsdauer verankert werden, und es können beliebige Auslöser (SR5, S. 304) gewählt werden – auch die Auslöser Hintergrundstrahlung und Wahrnehmungszauber. Die Auslösebedingung muss vor dem Wirken des verankerten Zaubers gewählt werden. Sobald der Auslöser und die Auslösebedingungen de- niert sind, wirkt der Zauberer den Zauber auf den Anker und notiert die Anzahl der Erfolge für die spätere Verwendung. Dann muss er dem (je nach Auslöser erhöhten) Entzug widerstehen. Weil der verankerte Zauber nicht wie ein Alchemisches Erzeugnis an ein physisches Herzstück gebunden ist, verlangt das Schaffen des Ankers ein kleines Extra vom Zauberer: Um die Verankerung herzustellen, muss er Karma in Höhe der Kraftstufe des verankerten Zaubers ausgeben. Verankerte Zauber werden wie intensivierte Zauber behandelt, wenn es um astrale Kreuzungspunkte (SR5, S. 315), Astralkampf und das Bannen von Zaubern geht. Verankerte Zauber tragen die astrale Signatur des Zauberer und können daher zum astralen Spurenlesen (SR5, S. 314) oder als sympathetische Verbindung (S. 169) verwendet werden. Wenn die Auslösebedingung erfüllt wird, bricht der Anker zusammen, und der Zauber wird gewirkt, als ob der Zauberer ihn gerade mit den zuvor vermerkten Erfolgen gewirkt hätte. Aufrechterhaltene Zauber werden genauso wie intensivierte Zauber aufrechterhalten. Permanente Zauber bleiben aufrechterhalten, bis die Wirkung permanent wird, dann endet der Zauber. Wenn der Zauberer das möchte, kann er für einen Anker mehrere Auslöser definieren. Die Auslöser können auch so de - niert werden, dass sie erst wirken, wenn auch eine andere Auslösebedingung erfüllt wird. Ein Kontaktauslöser könnte also so definiert werden, dass er erst wirkt, wenn zuvor ein Wahrnehmungszauber gewirkt wurde, sodass der Anker gefahrlos berührt werden kann, bis ein Wahrnehmungszauber dagegen erfolgreich ist. Bei der Verwendung mehrerer Auslöser werden die Entzugskosten aller Auslöser addiert, bevor der verankerte Zauber gewirkt wird. Ein Initiat kann gleichzeitig nur so viele verankerte Zauber haben, wie sein Initiatengrad beträgt. Er kann einen seiner verankerten Zauber als Freie Handlung beenden; der Zauber endet dann ohne Wirkung. Alle verfügbaren Auslöser finden Sie auf Seite 254."
Verbessertes Spiegeln;Abwehrmagie;Spiegelung;SG S. 177;VERBESSERTES SPIEGELN VORAUSSETZUNG: SPIEGELUNG UNTERBRECHUNGSHANDLUNG (INITIATIVEERGEBNIS -10, -1 EDGE) Diese Handlung funktioniert ähnlich wie Zauber Spiegeln, aber der Zauberer kann den Zauber entweder mit der vollen Kraftstufe re ektieren oder ihm Flächenwirkung verleihen, wenn er eine hatte. Wenn der spiegelnde Zauberer bei der Vergleichenden Probe nicht mehr Erfolge als der Gegner erzielt, trifft der Zauber ganz normal sein Ziel. Unabhängig vom Erfolg des Spiegelns muss der Zauberer einem Entzug widerstehen, als hätte er den Zauber selbst gewirkt.
Weissagung;Weissagung;–;SG S. 171;ohne
Zauber spiegeln;Abwehrmagie;Spiegelung;SG S. 176;ZAUBER SPIEGELN VORAUSSETZUNG: SPIEGELUNG UNTERBRECHUNGSHANDLUNG (INITIATIVEERGEBNIS -7) Mit dieser Handlung kann der Zauberer eine Vergleichende Probe auf Antimagie + Magie [Astral] gegen die Spruchzaubereiprobe des gegnerischen Zauberers ablegen. Wenn der spiegelnde Zauberer mehr Erfolge als der gegnerische Zauberer erzielt, wird der Zauber mit halber Kraftstufe (aufgerundet) auf den gegnerischen Zauberer zurückgespiegelt, und das ursprüngliche Ziel des Zaubers erleidet keinen Schaden. Der spiegelnde Zauberer erleidet Entzug, als hätte er selbst den gespiegelten Zauber mittels Schnellzaubern (also mit um 3 erhöhtem Entzug) gewirkt. Der gespiegelte Zauber trifft nur den Gegner, auch wenn es sich um einen Flächenwirkungszauber handelt. Die Nettoerfolge beim Spiegeln werden zu Erfolgen, als hätte der Zauberer den gespiegelten Zauber selbst gewirkt. Diese Nettoerfolge werden zu den ursprünglichen Nettoerfolgen des Gegners addiert. Wenn der spiegelnde Zauberer bei der Vergleichenden Probe nicht mehr Erfolge als der Gegner erzielt, trifft der Zauber ganz normal sein Ziel.
Zauber umlenken;Abwehrmagie;Spiegelung;SG S. 176;ZAUBER UMLENKEN VORAUSSETZUNG: SPIEGELUNG UNTERBRECHUNGSHANDLUNG (INITIATIVEERGEBNIS -5, -1 EDGE) Wenn die Schutzbefohlenen der Zauberabwehr des Zauberers zum Opfer eines indirekten Kampfzaubers mit Flächenwirkung werden, kann der Zauberer eine Vergleichende Probe auf Antimagie + Magie [Astral] gegen die Spruchzaubereiprobe des gegnerischen Zauberers ablegen. Jeder Nettoerfolg addiert einen Abweichungswürfel zum Angriff, und der Spielleiter bestimmt die Abweichung (SR5, S. 183). Wenn der spiegelnde Zauberer bei der Vergleichenden Probe nicht mehr Erfolge als der Gegner erzielt, trifft der Zauber ganz normal sein Ziel.
Zauberformung;Fortgeschrittene Spruchzauberei;–;SG S. 178;ZAUBERFORMUNG Der Charakter kann seine Flächenzauber umformen, wodurch sie allerdings schwerer zu wirken sind. Für einen Würfelpoolmodifikator von jeweils -1 auf die Spruchzaubereiprobe kann der Zauberer den Wirkungsradius des Zaubers um 1 Meter vergrößern, um 1 Meter verringern oder eine kugelförmige „Blase“ von 1 Meter Radius innerhalb des Wirkungsbereichs erschaffen, die nicht von der Zauberwirkung betroffen ist. Der Einsatz dieser Metamagie muss beim Wirken des Flächenzaubers angesagt werden. Der Charakter darf keinen höheren Malus in Kauf nehmen, als sein Magieattribut beträgt.
Zentrierung;Zentrierung;–;SG S. 178;ZENTRIERUNG Ein Zauberer, der die Zentrierung beherrscht, kann dem Entzug besser widerstehen. Indem er eine mundane Handlung durchführt, die zu seiner Tradition passt, seinen Geist beruhigt und Störungen ausblendet, erhält er für alle Entzugswiderstandsproben einen Würfelpoolbonus in Höhe seines Initiatengrades. Zentrieren ist eine Freie Handlung. Die genaue Technik ist etwas, das der Zauberer selbst auswählt (und natürlich zu seiner Tradition passen muss). Das können lateinische Sprechgesänge, das Spielen eines Instruments, Tanz, Gesang, geheimnisvolle Gesten, das Anrufen uralter Götter oder Ähnliches sein – Hauptsache, es ist auffällig. Wenn der Zauberer am Durchführen seiner Zentrierungstechnik gehindert wird, kann er Zentrierung nicht einsetzen.
